선박명,IMO,제재프로그램,선종,선적국,총톤수
MONTROSE,9281695,IRAN-EO13902,Crude Oil Tanker,San Marino,
VOLANS,9422988,IRAN-EO13902,Crude Oil Tanker,Barbados,
TITAN,9293741,IRAN-EO13902,Crude Oil Tanker,Unknown,
AM THESEUS,9720263,SDGT,Bulk Carrier,Russia,
NATALINA 7,9310147,IRAN-EO13902,Crude Oil Tanker,Comoros,
CATALINA 7,9310159,IRAN-EO13902,Crude Oil Tanker,Panama,
BRAVA LAKE,9232876,IRAN-EO13902,Crude Oil Tanker,Barbados,
VIOLA,9254915,IRAN-EO13902,Crude Oil Tanker,Panama,
AURORA RILEY,9181649,IRAN-EO13902,Crude Oil Tanker,Panama,
RESTON,9265744,IRAN-EO13902,Crude Oil Tanker,Cameroon,
AMOR,9182291,IRAN-EO13846,Crude Oil Tanker,Cameroon,
VIRGO,9236250,IRAN-EO13846,Crude Oil Tanker,Gambia,
GLOBAL ELEGANCE,9232955,IRAN-EO13902,Chemical/Oil Tanker,,
GLOBAL EMERALD,8982888,IRAN-EO13902,Products Tanker,Panama,
GLOBAL PEAK,9125712,IRAN-EO13902,Products Tanker,Panama,
GLOBAL RANI,9136113,IRAN-EO13902,Chemical/Oil Tanker,Palau,
GLOBAL STAR,9164500,IRAN-EO13902,Chemical/Oil Tanker,Panama,
GLOBAL ACE,9190078,IRAN-EO13902,Chemical/Oil Tanker,Panama,
GLOBAL EVEREST,9125724,IRAN-EO13902,Oil Products Tanker,Panama,
GLOBAL ANGEL,9311309,IRAN-EO13902,Oil Products Tanker,Panama,
GLOBAL FALCON,9399167,IRAN-EO13902,Chemical/Oil Tanker,Palau,
GLOBAL BEAUTY,9221267,IRAN-EO13902,Chemical/Products Tanker,Panama,
GLOBAL MAHARANI,9546708,IRAN-EO13902,Oil Products Tanker,Barbados,
GLOBAL DIGNITY,9309227,IRAN-EO13902,Chemical/Products Tanker,Panama,
GLORY STAR I,9463528,IRAN-EO13902,Oil Products Tanker,Panama,
HARMONY,9397030,IRAN-EO13902,Oil Products Tanker,Barbados,
GLOBAL EAGLE,9422847,IRAN-EO13902,Chemical/Products Tanker,Comoros,
GLOBAL HAWK,9422859,IRAN-EO13902,Chemical/Oil Tanker,,
OCEAN PRINCESS 1,8413306,IRAN-EO13902,Oil Products Tanker,Panama,
GLOBAL PEACE,9555199,IRAN-EO13902,Oil Products Tanker,Cook Islands,
CHIL 1,9171498,IRAN-EO13902,Chemical/Oil Tanker,Gambia,
GLOBAL CREST,9113094,IRAN-EO13902,Crude Oil Tanker,Panama,
GLOBAL ASPHALT,9005338,IRAN-EO13902,Oil Products Tanker,Panama,
GLOBAL DOMINANCE,9672301,IRAN-EO13902,Bunkering Tanker,Antigua & Barbuda,
MIRAGE,9254422,IRAN-EO13902,Chemical/Oil Tanker,Barbados,
GLOBAL GENESIS,9451501,IRAN-EO13902,Oil Products Tanker,,
LUANDA 1,9372705,IRAN-EO13902,Anchor Handling Vessel,Panama,
NADIYA,9118745,IRAN-EO13902,Oil Products Tanker,Panama,
PURNA,9176656,IRAN-EO13902,Oil Products Tanker,Gambia,
SIMRAN,9136644,IRAN-EO13902,Oil Products Tanker,Panama,
BESTLA,9295593,IRAN-EO13902,Crude Oil Tanker,Panama,
EGRET,9283801,IRAN-EO13902,Crude Oil Tanker,Panama,
RANI,9250907,IRAN-EO13902,Crude Oil Tanker,Panama,
NYANTARA,9242120,IRAN-EO13902,Crude Oil Tanker,Panama,
WHITE WHALE,9230426,SDGT,Crude/Oil Products Tanker,Panama,
SARAH,9014420,SDGT,LPG Tanker,Unknown,
MAISAN,9289776,SDGT,Products Tanker,Panama,
ELOISE,9233234,IRAN-EO13846,Crude Oil Tanker,Gabon,
THANE,9237228,IRAN-EO13902,Crude Oil Tanker,San Marino,
IMPALAS,9171448,IRAN-EO13902,Crude Oil Tanker,Sao Tome & Principe,
STAR TWINKLE 6,9256987,IRAN-EO13902,Crude Oil Tanker,Panama,
LAMD,9320843,IRAN-EO13902,Crude Oil Tanker,Panama,
SKADI,9230971,IRAN-EO13902,Crude Oil Tanker,Panama,
BIG MAG,9263215,IRAN-EO13902,Crude Oil Tanker,Panama,
BALU,9235244,SDGT,Floating Storage Tanker,Cameroon,
ROC,9275660,SDGT,Crude Oil Tanker,Panama,
THEMIS,9264570,IRAN-EO13902,Crude Oil Tanker,Panama,
FOTIS,9306548,IRAN-EO13902,LPG Tanker,Comoros,
VIZURI,9197909,IRAN-EO13902,Crude Oil Tanker,Cameroon,
HONESTAR,9187368,NPWMD] [IFSR,Bulk Carrier,Unknown,
BIANCA JOYSEL,9196632,IRAN-EO13902,Crude Oil Tanker,Panama,
ARES,9174397,IRAN-EO13902,Crude Oil Tanker,Cook Islands,
GIANT,9238868,IRAN-EO13902,Crude Oil Tanker,Hong Kong,
KONGM,9256975,IRAN-EO13902,Crude Oil Tanker,Panama,
ADELINE G,9234666,IRAN-EO13902,Crude Oil Tanker,Panama,
GAS MARYAM,9108099,SDGT,LPG Tanker,Palau,
ATILA,9262754,SDGT,Crude Oil Tanker,Cameroon,
ELIZABET,9216717,SDGT,Crude Oil Tanker,Cameroon,
DIJILAH,9829629,IRAN-EO13902,Crude Oil Tanker,Marshall Islands,
RIEVERIA I,9286229,IRAN-EO13846,Crude Oil Tanker,San Marino,
BATELEUR,9045807,IRAN-EO13846,LPG Tanker,Panama,
NEEL,9157478,IRAN-EO13846,LPG Tanker,Panama,
ARTEMIS III,9102241,IRAN-EO13846,Crude Oil Tanker,Honduras,
VALENTE,9298272,SDGT,Crude Oil Tanker,Palau,
ATLANTIS MZ,9218181,SDGT,Crude Oil Tanker,Unknown,
TRIS GAS,9041655,IRAN-EO13902,LPG Tanker,Cameroon,
XANTE,9554834,IRAN-EO13902,Asphalt/Bitumen Tanker,Panama,
YUG,9288875,IRAN-EO13902,Crude Oil Tanker,Comoros,
ZALE,9321718,IRAN-EO13902,Crude Oil Tanker,Panama,
URANUS,9248485,IRAN-EO13902,Crude Oil Tanker,Tanzania,
TAGOR,9282481,IRAN-EO13902,Crude Oil Tanker,Panama,
ABHRA,9282041,IRAN-EO13902,Crude Oil Tanker,Panama,
APATE,9433016,IRAN-EO13902,Oil Products Tanker,Panama,
NEMRUT,9439541,IRAN-EO13902,Crude Oil Tanker,Liberia,
OMNI,9400980,IRAN-EO13902,Crude Oil Tanker,Panama,
AETHER,9328170,IRAN-EO13902,Crude Oil Tanker,Panama,
TOA PAYOH,9298492,IRAN-EO13902,Chemical/Oil Tanker,Panama,
BRIONT,9252955,IRAN-EO13902,Chemical/Oil Tanker,Panama,
MANASLU,9388027,IRAN-EO13902,Chemical/Oil Tanker,Panama,
TASSOS,9408695,IRAN-EO13902,Crude Oil Tanker,Liberia,
CHARMINAR,9318022,IRAN-EO13902,Chemical/Oil Tanker,Panama,
EVENTIN,9308065,IRAN-EO13902,Crude Oil Tanker,Unknown,
SIMBA,9719862,IRAN-EO13902,Container Ship,Liberia,
STAR,9436484,IRAN-EO13902,Container Ship,Liberia,
TEX,9246322,IRAN-EO13902,Container Ship,Liberia,
TIMON,9415844,IRAN-EO13902,Container Ship,Liberia,
YOGI,9307009,IRAN-EO13902,Container Ship,Liberia,
ZAGOR,9313242,IRAN-EO13902,Container Ship,Liberia,
VANI,9264881,IRAN-EO13902,Crude Oil Tanker,San Marino,
ELKE,9012886,IRAN-EO13902,LPG Tanker,Palau,
DHANU,9122473,IRAN-EO13902,Container Ship,St. Kitts and Nevis,
AEOLUS,9088524,IRAN-EO13902,Container Ship,Liberia,
CERUS,9259408,IRAN-EO13902,Container Ship,St. Kitts and Nevis,
ACE,9228538,IRAN-EO13902,Container Ship,St. Vincent and Grenadines,
ROB,9236652,IRAN-EO13902,Container Ship,Liberia,
GAUJA,9348493,IRAN-EO13902,Container Ship,Panama,
TB ANPING,9237084,IRAN-EO13902,Container Ship,Liberia,
IRIS,9247778,IRAN-EO13902,Crude Oil Tanker,Palau,
YODAN,9304356,IRAN-EO13902,Crude Oil Tanker,Vanuatu,
ETHERA,9387279,IRAN-EO13902,Chemical/Oil Tanker,Panama,
MISHELL,9332315,IRAN-EO13902,Chemical/Products Tanker,Panama,
MYRA,9336490,IRAN-EO13902,Oil Products Tanker,Panama,
BIGLI,9307047,IRAN-EO13902,Container Ship,Liberia,
BERTIE,9241487,IRAN-EO13902,Container Ship,Liberia,
ANTARES I,9382073,IRAN-EO13902,Oil Products Tanker,Liberia,
GUANYIN,9299707,IRAN-EO13902,Crude Oil Tanker,Liberia,
IANTHE,9554822,IRAN-EO13902,Asphalt/Bitumen Tanker,Panama,
KANTI,9282106,IRAN-EO13902,LPG Tanker,San Marino,
MAHADEV,9571052,IRAN-EO13902,Asphalt/Bitumen Tanker,Palau,
KYLO,9189146,IRAN-EO13902,Crude Oil Tanker,Comoros,
ALE,9303754,IRAN-EO13902,Container Ship,Liberia,
HAKUNA MATATA,9354167,IRAN-EO13902,Container Ship,Liberia,
LIDIA,9330501,IRAN-EO13902,Container Ship,Liberia,
MOANA,9292151,IRAN-EO13902,Container Ship,Liberia,
PINOCCHIO,9400112,IRAN-EO13902,Container Ship,Liberia,
PUMBA,9302566,IRAN-EO13902,Container Ship,Liberia,
RANTANPLAN,9307023,IRAN-EO13902,Container Ship,Liberia,
SEATURBO,9204764,IRAN-EO13846,Crude Oil Tanker,Comoros,
TRUGEN,9200861,IRAN-EO13846,Oil Products Tanker,Comoros,
SEABASS,9251640,IRAN-EO13846,Oil Products Tanker,Comoros,
SEAHAKER,9255488,IRAN-EO13846,Oil Products Tanker,Comoros,
ZEAL,9486805,IRAN-EO13846,Oil Products Tanker,Gabon,
MOLLY,9531375,IRAN-EO13846,Chemical/Oil Tanker,Comoros,
SOFIA,9531387,IRAN-EO13846,Chemical/Oil Tanker,Comoros,
COURAGE 7,9553957,IRAN-EO13846,Asphalt/Bitumen Tanker,Gabon,
TIFANI,9273337,IRAN-EO13846,Crude Oil Tanker,Palau,
TONDA SOURCE,9127667,IRAN-EO13846,Chemical/Oil Tanker,Panama,
ADENA,9254862,IRAN-EO13902,Crude Oil Tanker,Liberia,
LILIANA,9297905,IRAN-EO13902,Crude Oil Tanker,Liberia,
CAMILLA,9254850,IRAN-EO13902,Crude Oil Tanker,Liberia,
DELFINA,9256248,IRAN-EO13902,Crude Oil Tanker,Liberia,
BIANCA,9259927,IRAN-EO13902,Chemical/Products Tanker,Liberia,
ROBERTA,9237008,IRAN-EO13902,Oil Products Tanker,Liberia,
ALEXANDRA,9273260,IRAN-EO13902,Crude Oil Tanker,Liberia,
BELLAGIO,9299446,IRAN-EO13902,Chemical/Products Tanker,Liberia,
PAOLA,9299458,IRAN-EO13902,Chemical/Products Tanker,Liberia,
KATSUYA,9178068,IRAN-EO13902,Oil Products Tanker,Gambia,
VICTORY ARI,9290919,IRAN-EO13902,Chemical/Oil Tanker,Antigua and Barbuda,
SONDOS,9268186,IRAN-EO13902,Chemical/Oil Tanker,Antigua and Barbuda,
LAFIT,9379698,IRAN-EO13902,Crude Oil Tanker,Sao Tome & Principe,
STAR MM,9186625,SDGT,Crude Oil Tanker,Antigua and Barbuda,
NOBEL M,9228784,SDGT,Chemical/Oil Tanker,Barbados,
SHRIA,9179347,SDGT,Chemical/Oil Tanker,Antigua and Barbuda,
BLACK ROCK,9196448,SDGT,Chemical/Oil Tanker,Panama,
APS 9,9360001,IRAN-EO13902,Tug,Singapore,
VOY,9222443,IRAN-EO13902,Crude Oil Tanker,Sao Tome and Principe,
MADESTAR,9289726,IRAN-EO13902,Crude Oil Tanker,Panama,
PIONEER 92,9340934,IRAN-EO13902,Tug,Mongolia,
PURDUE STELLAR,9275658,IRAN-EO13902,Crude Oil Tanker,Hong Kong,
SEA OPERA,9000883,IRAN-EO13902,LPG Tanker,Cameroon,
TULIP,8912558,IRAN-EO13902,LPG Tanker,Cameroon,
GAS MARTA,9307748,IRAN-EO13902,LPG Tanker,Palau,
ADA,9008108,IRAN-EO13902,LPG Tanker,Comoros,
SEA HERMES,9031519,IRAN-EO13902,LPG Tanker,Palau,
GAS LEADER,9114581,IRAN-EO13902,LPG Tanker,Gambia,
GAS VISION,9115303,IRAN-EO13902,LPG Tanker,Gambia,
PAMIR,9208239,IRAN-EO13902,LPG Tanker,Comoros,
SAPPHIRE GAS,9320738,IRAN-EO13902,LPG Tanker,Panama,
NEPTA,9013701,IRAN-EO13902,LPG Tanker,Comoros,
GAS ZEINA,8818843,IRAN-EO13902,LPG Tanker,Gambia,
SIREN II,9337195,IRAN-EO13902,Crude Oil Tanker,Hong Kong,
SONA,9005053,IRAN-EO13902,LPG Tanker,Gambia,
SULLANA,9180152,IRAN-EO13902,Crude Oil Tanker,Comoros,
VITA I,9241114,IRAN-EO13902,Crude Oil Tanker,Panama,
GALE,9294240,IRAN-EO13902,Crude Oil Tanker,Gambia,
GAS DIOR,9379404,IRAN-EO13902,LPG Tanker,Panama,
MAX STAR,9134165,IRAN-EO13902,LPG Tanker,Palau,
PK MARIT,9235464,IRAN-EO13846,Chemical/Products Tanker,Cook Islands,
TRIMA,9252072,IRAN-EO13846,Chemical/Products Tanker,Cook Islands,
PK PHOENIX,9326902,IRAN-EO13846,Chemical/Products Tanker,Panama,
HAI LONG BRAVO,9312353,IRAN-EO13846,General Cargo,Panama,
LOANNA,9251884,IRAN-EO13846,Chemical/Products Tanker,Palau,
WORLD COURAGE,9289740,IRAN-EO13846,Chemical/Products Tanker,Panama,
WORLD PROGRESS,9300996,IRAN-EO13846,Chemical/Products Tanker,Cook Islands,
WORLD PERFORMANCE,9301005,IRAN-EO13846,Chemical/Products Tanker,Cook Islands,
TETHIS 7,9251896,IRAN-EO13846,Chemical/Products Tanker,Palau,
THANASIS,9239989,IRAN-EO13846,Chemical/Products Tanker,Palau,
WHITE CRANE,9323429,VENEZUELA-EO13850,Crude Oil Tanker,Panama,
PIONEER SAM,9232620,IRAN-EO13902,Crude Oil Tanker,Palau,
TUSITALA,8912546,IRAN-EO13902,LPG Tanker,Gambia,
NEXO,9014456,IRAN-EO13902,LPG Tanker,Gambia,
KAISA I,9038763,IRAN-EO13902,LPG Tanker,Panama,
GAS ATHENA,9267950,IRAN-EO13902,LPG Tanker,Panama,
AL SIDDEEQ,9312509,IRAN-EO13846,Crude Oil Tanker,Panama,
AVA 10,9247986,IRAN-EO13846,Crude Oil Tanker,Comoros,
BODHI,9144782,IRAN-EO13846,Crude Oil Tanker,Cameroon,
AQUARIS,9251822,IRAN-EO13846,Crude Oil Tanker,Panama,
GOLDEN EAGLE,9255684,IRAN-EO13902,Crude Oil Tanker,Unknown,
KURDOS,9236731,IRAN-EO13902,Chemical/Products Tanker,Palau,
KASSIA,9409986,IRAN-EO13902,Chemical/Products Tanker,Panama,
MAJESTY,9430715,IRAN-EO13902,Chemical/Products Tanker,Cook Islands,
KURDOS II,9453729,IRAN-EO13902,Chemical/Products Tanker,Palau,
KURDOS III,9380570,IRAN-EO13902,Chemical/Products Tanker,Palau,
NOMIKI,9242443,IRAN-EO13902,Chemical/Products Tanker,Panama,
MARUTI,9546710,IRAN-EO13902,Products Tanker,Cook Islands,
SKYLIGHT,9330020,IRAN-EO13902,Chemical/Products Tanker,Palau,
KHADIGA,9321469,IRAN-EO13902,Chemical/Products Tanker,Palau,
M K A,9269403,IRAN-EO13902,Chemical/Products Tanker,Cook Islands,
AUROURA,9262912,IRAN-EO13902,Oil Products Tanker,Panama,
H. CONSTANCE,9237773,VENEZUELA-EO13850,Crude Oil Tanker,Panama,
LATTAFA,9245794,VENEZUELA-EO13850,Crude Oil Tanker,Panama,
TAMIA,9315642,VENEZUELA-EO13850,Crude Oil Tanker,Hong Kong,
MONIQUE,9311270,VENEZUELA-EO13850,Crude Oil Tanker,Cook Islands,
AETHER SAIL,9277371,IRAN-EO13902,Chemical/Products Tanker,Palau,
NEBULA DRIFT,9233973,IRAN-EO13902,Products Tanker,Palau,
VOYAGER HAVEN,9271896,IRAN-EO13902,Chemical/Products Tanker,Panama,
TIDAL RHYTHM,9297101,IRAN-EO13902,Asphalt/Bitumen Tanker,Panama,
ARIHANT,9464156,IRAN-EO13902,Products Tanker,Palau,
RAMYA,9363182,IRAN-EO13902,Chemical/Products Tanker,Barbados,
FOSHAN,9404572,IRAN-EO13902,Chemical/Products Tanker,Panama,
HEMERA,9263954,IRAN-EO13902,Asphalt/Bitumen Tanker,Palau,
SEA CITRINE VI,9207273,IRAN-EO13902,Products Tanker,Palau,
SEA WISE,9224570,IRAN-EO13902,Products Tanker,Palau,
SEAMULL,9204776,IRAN-EO13902,Products Tanker,Palau,
SEA ROCK,9140451,IRAN-EO13902,Products Tanker,,
FLORA DOLCE,9258595,IRAN-EO13902,Chemical/Products Tanker,Barbados,
DIANA,9255945,IRAN-EO13902,Crude Oil Tanker,Jamaica,
J M A,9246487,IRAN-EO13902,Oil Products Tanker,Cook Islands,
S M A,9273002,IRAN-EO13902,Asphalt/Bitumen Tanker,Cook Islands,
INTAN PREMIER,9358802,IRAN-EO13902,Chemical/Products Tanker,Palau,
NORD STAR,9323596,VENEZUELA-EO13850,Crude Oil Tanker,Panama,
ALBARRAQ Z,9252943,SDGT,Crude Oil Tanker,Unknown,
DELLA,9227479,VENEZUELA-EO13850,Crude Oil Tanker,Hong Kong,
VALIANT,9409247,VENEZUELA-EO13850,Crude Oil Tanker,Hong Kong,
ROSALIND,9277735,VENEZUELA-EO13850,Oil Products Tanker,Guinea,
SEA BIRD,9088536,IRAN-EO13902,LPG Tanker,Palau,
AVON,9034705,IRAN-EO13902,LPG Tanker,Comoros,
AL DIAB II,9053816,IRAN-EO13902,LPG Tanker,Palau,
NIBA,9046784,IRAN-EO13902,LPG Tanker,Palau,
LUMA,9034690,IRAN-EO13902,LPG Tanker,Vanuatu,
CESARIA,9251602,IRAN-EO13902,Crude Oil Tanker,Palau,
LONGEVITY 7,9240885,IRAN-EO13902,Chemical/Products Tanker,Unknown,
EASTERN HERO,9353905,IRAN-EO13902,Chemical/Products Tanker,Palau,
AQUA SPIRIT,9197727,IRAN-EO13902,LPG Tanker,Panama,
CHIRON 5,9306665,IRAN-EO13902,Products Tanker,Comoros,
KEEL,9176929,IRAN-EO13902,Shuttle Tanker,Comoros,
GAZ CRYSTAL,9318618,IRAN-EO13846,LPG Tanker,Panama,
GAS RIVER,9369760,IRAN-EO13846,LPG Tanker,Panama,
AQUA LIVE,9282792,IRAN-EO13846,Crude Oil Tanker,Aruba,
FORTUNE GAS,9471123,IRAN-EO13846,LPG Tanker,Panama,
YONGHENG OCEAN,9234472,IRAN-EO13846,Chemical/Oil Tanker,Barbados,
VICSCENE,9290775,IRAN-EO13846,Crude Oil Tanker,Barbados,
ZEVS,9168946,IRAN-EO13846,Crude Oil Tanker,Cameroon,
OCEAN GUARDIAN,9267948,IRAN-EO13846,Oil Products Tanker,Panama,
WHITE SHARK,9155626,IRAN-EO13846,LPG Tanker,San Marino,
AL SAFA,9222649,IRAN-EO13846,Oil Products Tanker,Panama,
VETER,9233739,IRAN-EO13846,Crude Oil Tanker,Cameroon,
BENLAI,9312494,IRAN-EO13846,Crude Oil Tanker,Barbados,
RAYYAN GAS,9133109,IRAN-EO13846,LPG Tanker,Palau,
BENEDICT,9293155,IRAN-EO13846,Crude Oil Tanker,Cameroon,
LARA,9221475,SDGT,General Cargo,St. Kitts & Nevis,
BRILLIANCE,9450715,SDGT,Bulk Carrier,Panama,
SILVAR,9291262,IRAN-EO13902,Crude Oil Tanker,Cameroon,
DAPHNE V,9321677,IRAN-EO13902,Crude Oil Tanker,Panama,
ANAYA,9326885,IRAN-EO13902,Oil Products Tanker,Panama,
VERSA,9379301,IRAN-EO13902,Crude Oil Tanker,Panama,
HORAE,9413004,IRAN-EO13902,Crude Oil Tanker,Panama,
AURA,9274563,IRAN-EO13902,LPG Tanker,Mozambique,
CAUVERI,9282508,IRAN-EO13902,Crude Oil Tanker,Cameroon,
ATEELA 1,9548990,IRAN-EO13902,Products Tanker,Iran,
ATEELA 2,9549009,IRAN-EO13902,Products Tanker,Iran,
HOOT,9267962,IRAN-EO13902,LPG Tanker,Panama,
REMIZ,9223344,IRAN-EO13902,Crude Oil Tanker,Panama,
DANUTA I,9193721,IRAN-EO13902,LPG Tanker,Palau,
ALAA,9155341,IRAN-EO13902,LPG Tanker,Palau,
GAS FATE,9147394,IRAN-EO13902,LPG Tanker,Panama,
OCEAN KOI,9255933,IRAN-EO13902,Crude Oil Tanker,Barbados,
NORTH STAR,9299563,IRAN-EO13902,Crude Oil Tanker,Barbados,
FELICITA,9167162,IRAN-EO13902,Crude Oil Tanker,Comoros,
BELLARIS,9332614,IRAN-EO13902,Oil Products Tanker,Panama,
ANIKA,9417464,IRAN-EO13902,Crude/Oil Products Tanker,Panama,
MIRAAN,9242481,IRAN-EO13902,Oil Products Tanker,Comoros,
BANGUS,9308998,IRAN-EO13902,Crude/Oil Products Tanker,Barbados,
GALVIN,9387762,IRAN-EO13902,LPG Tanker,Panama,
HH GLORY,9534614,IRAN-EO13902,LPG Tanker,Panama,
LIN 9,9240158,IRAN-EO13902,LPG Tanker,Antigua & Barbuda,
LISBOA,9257711,IRAN-EO13902,Chemical/Oil Tanker,Panama,
LPG SEVAN,9177806,IRAN-EO13902,LPG Tanker,Panama,
LYNN,9352559,IRAN-EO13902,Crude Oil Tanker,Hong Kong,
GLOBAL VIVIAN,9002908,IRAN-EO13902,LPG Tanker,Panama,
ANSHUN II,9253117,IRAN-EO13902,Crude Oil Tanker,Panama,
SMD WORLD,9290086,IRAN-EO13902,Crude Oil Tanker,Panama,
EDOR,9259317,IRAN-EO13902,Crude Oil Tanker,Marshall Islands,
BENTLEY,9220914,IRAN-EO13902,Chemical/Oil Tanker,Cook Islands,
COVENIO,9263227,IRAN-EO13902,Crude Oil Tanker,Panama,
GOLDEN SUNRISE,9183362,IRAN-EO13902,Crude Oil Tanker,Comoros,
ZHEN ZHU,9290359,IRAN-EO13902,Crude Oil Tanker,Barbados,
MAGNOLIA,9258519,IRAN-EO13902,Crude Oil Tanker,Hong Kong,
STELLAR BEVERLY,9208069,IRAN-EO13902,Crude Oil Tanker,Mozambique (False),
SEEKER 8,9294329,IRAN-EO13902,Crude Oil Tanker,Vanuatu,
NEW FUSION,9277723,IRAN-EO13846,Oil Products Tanker,Panama,
FEADSHIP,9322279,IRAN-EO13902,Crude Oil Tanker,Vanuatu,
VASLATI,9252333,IRAN-EO13902,Crude Oil Tanker,Cameroon,
DAKUSH,9278698,IRAN-EO13902,Chemical/Products Tanker,Cook Islands,
GALA ROSE,9126015,IRAN-EO13902,Chemical/Oil Tanker,Hong Kong,
TEJAS,9326067,IRAN-EO13902,Crude Oil Tanker,Panama,
GREAT SAIL,9177583,IRAN-EO13902,LPG Tanker,Barbados,
OCEAN WAVE,9387152,IRAN-EO13902,Products Tanker,Palau,
LUNA LUSTER,9292187,IRAN-EO13902,Crude Oil Tanker,Sierra Leone,
SWIFT FALCON,9246803,IRAN-EO13902,Chemical/Oil Tanker,Panama,
MIGHTY NAVIGATOR,9206396,IRAN-EO13902,LPG Tanker,Hong Kong,
MIDAS,9266841,IRAN-EO13902,Crude Oil Tanker,Panama,
GAS ENDURANCE,9240419,IRAN-EO13902,LPG Tanker,Gabon,
OCEAN RADIANCE,9194969,IRAN-EO13902,LPG Tanker,Palau,
QUANTUM STAR,9225342,IRAN-EO13902,LPG Tanker,Panama,
GAS STRENGTH,9172636,IRAN-EO13902,LPG Tanker,Gabon,
BRIGHT GOLD,9171503,IRAN-EO13902,Chemical/Oil Tanker,Panama,
DOUBLE IN,8917807,IRAN-EO13902,LPG Tanker,San Marino,
NARSIS,9408358,IRAN-EO13902,Chemical/Oil Tanker,Cameroon,
G JADES,9131096,IRAN-EO13902,LPG Tanker,Comoros,
MAYMEI,9133082,IRAN-EO13846,Chemical/Products Tanker,Palau,
FLORA,9133070,IRAN-EO13846,Chemical/Oil Tanker,Marshall Islands,
THEA,9298284,IRAN-EO13846,Crude Oil Tanker,Panama,
ILL GAP,9294305,IRAN-EO13846,Crude Oil Tanker,Panama,
YONGAN OCEAN,9288758,IRAN-EO13846,Chemical/Products Tanker,Panama,
HAUNCAYO,9180164,IRAN-EO13846,Crude Oil Tanker,Comoros,
GAS NORA,8813116,IRAN-EO13846,LPG Tanker,San Marino,
RCELEBRA,9286073,IRAN-EO13846,Crude Oil Tanker,Cameroon,
MD 23,9158240,IRAN-EO13902,LPG Tanker,Palau,
GLENDALE,9139945,IRAN-EO13902,LPG Tanker,Panama,
AMIR GAS,9167409,IRAN-EO13902,LPG Tanker,St. Kitts and Nevis,
GAS LAGOON,9386304,IRAN-EO13902,LPG Tanker,Panama,
MILE,8910897,IRAN-EO13902,LPG Tanker,Panama,
GAZ GMS,9131539,IRAN-EO13902,LPG Tanker,Panama,
SEPEHR PAYAM,9110535,IRAN-EO13902,Container Ship,Iran,
ERIKA,8721454,IRAN-EO13902,General Cargo,Iran,
ARKANOOR 2,8727848,IRAN-EO13902,General Cargo,Iran,
ARKANOOR 3,8832083,IRAN-EO13902,General Cargo,Iran,
SEA CRUISER,8729963,IRAN-EO13902,General Cargo,Unknown,
SEA CASTLE,8891572,IRAN-EO13902,General Cargo,Unknown,
SEA ANCHOR,8858099,IRAN-EO13902,General Cargo,Unknown,
CICCIO,9192442,IRAN-EO13902,Container Ship,Antigua & Barbuda,
SHENTON WAY,9146314,IRAN-EO13902,Container Ship,Panama,
TANJONG PAGAR 1,9404508,IRAN-EO13902,Container Ship,Panama,
VIRENT,9332171,IRAN-EO13902,Chemical/Oil Tanker,Panama,
HOPE 1,9514339,IRAN-EO13902,Bulk Carrier,Antigua and Barbuda,
JADE,9418999,IRAN-EO13902,General Cargo,Antigua and Barbuda,
OPAL,9467158,IRAN-EO13902,General Cargo,Antigua and Barbuda,
ELPINIKI,9606015,IRAN-EO13902,General Cargo,Barbados,
DARIKA,9506693,IRAN-EO13902,Chemical/Oil Tanker,Panama,
GEMMA,9509097,IRAN-EO13902,General Cargo,Palau,
NADIA,9122461,IRAN-EO13902,Container Ship,St Kitts & Nevis,
SEA GALLEON,8843666,IRAN-EO13902,General Cargo,Unknown,
PAYA LEBAR,9134232,IRAN-EO13902,Container Ship,Antigua & Barbuda,
WELL SAIL,9321938,IRAN-EO13902,Chemical/Products Tanker,Marshall Islands,
NATSUMI,9331244,IRAN-EO13902,Crude Oil Tanker,Barbados,
NIRETA,9237785,IRAN-EO13902,Crude Oil Tanker,Vanuatu,
CRYSTAL,9223887,IRAN-EO13902,Crude Oil Tanker,Vanuatu,
YEHOPE,9243320,IRAN-EO13902,Crude Oil Tanker,Barbados,
LILY,9294331,IRAN-EO13902,Crude Oil Tanker,Mozambique,
AL SALMI,9298296,IRAN-EO13902,Crude Oil Tanker,Unknown,
BREEZE V,9259355,IRAN-EO13902,Crude Oil Tanker,Barbados,
SIFRA,9185346,IRAN-EO13902,LPG Tanker,Botswana False,
G SILVER,9139696,IRAN-EO13902,LPG Tanker,Cameroon,
QUANTUM HOPE,9233650,IRAN-EO13902,Crude Oil Tanker,Vanuatu,
VOYAGE ELITE,9286138,IRAN-EO13902,Crude Oil Tanker,Gambia,
TELA,9189110,IRAN-EO13902,Crude Oil Tanker,Gambia,
TODOS VUELVEN,,ILLICIT-DRUGS-EO14059,Fishing Vessel,Ecuador,
ARCA DE NOE III,,ILLICIT-DRUGS-EO14059,Fishing Vessel,Ecuador,
ARCA DE NOE III JR,8456035,ILLICIT-DRUGS-EO14059,Fishing Vessel,Ecuador,
ARCA DE NOE IV,,ILLICIT-DRUGS-EO14059,Fishing Vessel,Ecuador,
ARCA DE NOE V,,ILLICIT-DRUGS-EO14059,Fishing Vessel,Ecuador,
